2;BOOL;OP40_Work;Выполнение (функц-ние)
2.1;BOOL;OP41_Work;Выполнение (прочность)
2.2;BOOL;OP42_Work;Выполнение (наружная герметичность)
2.3;BOOL;OP43_Work;Выполнение (КПД)
2.4;BOOL;OP44_Work;Выполнение (рабочий объем)
2.5;BOOL;OP45_Work;Выполнение (коэффициент подачи)
2.6;BOOL;OP46_Work;Выполнение (номинальная мощность)
2.7;BOOL;OP47_Work;Выполнение (подача насоса)
3;BOOL;OP48_Work;Выполнение (расход в дренаже)
3.1;BOOL;OP49_Work;Выполнение (функц-ные зависимости)
3.2;BOOL;OP40_End;Конец (функц-ние)
3.3;BOOL;OP41_End;Конец (прочность)
3.4;BOOL;OP42_End;Конец (наружная герметичность)
3.5;BOOL;OP43_End;Конец (КПД)
3.6;BOOL;OP44_End;Конец (рабочий объем)
3.7;BOOL;OP45_End;Конец (коэффициент подачи)
4;BOOL;OP46_End;Конец (номинальная мощность)
4.1;BOOL;OP47_End;Конец (подача насоса)
4.2;BOOL;OP48_End;Конец (расход в дренаже)
4.3;BOOL;OP49_End;Конец (функц-ные зависимости)
4.4;BOOL;OP49_1;Выполнение - подача насоса от давления
4.5;BOOL;OP49_2;Выполнение - мощность насоса от давления
4.6;BOOL;OP49_3;Выполнение - коэффиц-нт подачи от давления
4.7;BOOL;OP49_4;Выполнение - КПД от давления
5;BOOL;OP49_G1;Выполнение - график 1
5.1;BOOL;OP49_G2;Выполнение - график 2
5.2;BOOL;OP49_G3;Выполнение - график 3
5.3;BOOL;OP49_G4;Выполнение - график 4
5.4;BOOL;OP49_G5;Выполнение - график 5
5.5;BOOL;OP49_G6;Выполнение - график 6
5.6;BOOL;OP49_Ready;данные готовы к чтению
6;REAL;Q_NO_Dopusk;Расход не в допуске (рабочий/дренаж)
10;REAL;OP43_KPD;Значение КПД
14;REAL;OP44_Work_V;Значение рабочего объема
18;REAL;OP45_K_Podacha;Значение коэффиц. подачи
22;REAL;OP46_Power;Значение мощности
26;REAL;OP47_Podacha_1;Значение подачи 1
30;REAL;OP47_Podacha_2;Значение подачи 2
34;REAL;OP47_Podacha_3;Значение подачи 3
38;REAL;OP48_Q_Drenag;Значение расхода в дренаже
